model_class,config_repr,mean_rho,std_rho,mean_mae
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 5}",0.212928,0.012843,340.620699
xgboost,"{'n_estimators': 200, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 10}",0.231221,0.010742,334.219719
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1}",0.168525,0.010237,326.953564
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5}",0.205760,0.017715,348.115920
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10}",0.228103,0.012067,339.553761
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1}",0.171756,0.013849,325.898248
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5}",0.206276,0.012265,352.931360
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 10}",0.229150,0.010194,343.741603
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 1}",0.171729,0.014463,325.278258
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 5}",0.207264,0.012071,357.081775
xgboost,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 10}",0.221223,0.013785,348.027139
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1}",0.163487,0.012897,330.965686
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5}",0.203766,0.016132,358.782791
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 10}",0.220114,0.014450,348.409838
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1}",0.162202,0.016119,330.184422
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5}",0.199476,0.012498,366.082344
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 10}",0.212456,0.016313,355.945830
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 1}",0.152302,0.015387,330.974171
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 5}",0.193717,0.015502,371.975204
xgboost,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'min_child_weight': 10}",0.201896,0.014767,362.966422
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1}",0.167925,0.013934,326.665884
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5}",0.208288,0.018503,343.943618
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 10}",0.229413,0.012333,336.525942
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1}",0.174162,0.012449,325.207094
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5}",0.208780,0.012634,349.102045
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 10}",0.230319,0.009221,340.031043
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 1}",0.179422,0.015423,324.422006
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 5}",0.208701,0.011698,352.822710
xgboost,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 8, 'min_child_weight': 10}",0.226654,0.010508,344.193768
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1}",0.166112,0.012097,330.643192
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5}",0.205758,0.018744,357.429989
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 10}",0.223146,0.012871,346.745771
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1}",0.164458,0.013586,330.184518
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5}",0.203584,0.015329,363.427460
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 10}",0.218701,0.011209,353.556875
xgboost,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 8, 'min_child_weight': 1}",0.154101,0.016043,329.964390
